title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Recherches sur la construction des nouvelles lunettes à 5 et 6 verres et leur perfection ultérieure;Research into the construction of new glasses with 5 and 6 lenses and their subsequent perfection;320;710;French;1763;1763;1763;journal;article;Melanges de philosophie et de la mathematique de la societe royale de Turin;3;92-151;3;6;270;323;E320;320;https://scholarlycommons.pacific.edu/euler-works/320
Observationes circa integralia formularum ∫ <em>x</em><sup><em>p</em>-1</sup> <em>dx</em> (1–<em>x</em><sup><em>n</em></sup>)<sup><em>q</em>/<em>n</em> - 1</sup> posito post integrationem <em>x</em>=1;Observations concerning the integrals of formulas ∫ <em>x</em><sup><em>p</em>-1</sup> <em>dx</em> (1–<em>x</em><sup><em>n</em></sup>)<sup><em>q</em>/<em>n</em> - 1</sup> setting <em>x</em>=1 after integration;321;232;Latin;1765;1765;1765;journal;article;Mélanges de philosophie et de la mathématique de la société royale de Turin;3;156-177;1;17;268;288;E321;321;https://scholarlycommons.pacific.edu/euler-works/321
De usu functionum discontinuarum in analysi;The use of discontinuous functions in analysis;322;169;Latin;1762;1762;1762;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;2018-03-27;1;23;74;91;E322;322;https://scholarlycommons.pacific.edu/euler-works/322
De usu novi algorithmi in problemate Pelliano solvendo;Concerning the use of a new algorithm to solve the Pell problem;323;63;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;28-66;1;3;73;111;E323;323;https://scholarlycommons.pacific.edu/euler-works/323
Proprietates triangulorum, quorum anguli certam inter se tenent rationem;Properties of triangles for which certain angles have a ratio between themselves;324;305;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;67-102;1;26;109;138;E324;324;https://scholarlycommons.pacific.edu/euler-works/324
Solutio facilis problematum quorundam geometricorum difficillimorum;Easy solutions to some difficult geometric problems;325;306;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;103-123;1;26;139;157;E325;325;https://scholarlycommons.pacific.edu/euler-works/325
Observationes analyticae;Analytical observations;326;126;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;124-143;1;15;50;69;E326;326;https://scholarlycommons.pacific.edu/euler-works/326
De motu rectilineo trium corporum se mutuo attrahentium;On the rectilinear motion of three bodies mutually attracted to each other;327;542;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;144-151;2;25;281;289;E327;327;https://scholarlycommons.pacific.edu/euler-works/327
De motu corporis ad duo centra virium fixa attracti;On the motion of a body attracted to two fixed centers of forces;328;539;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;152-184;2;6;247;273;E328;328;https://scholarlycommons.pacific.edu/euler-works/328
De phaenomenis coeli per segmenta sphaerica diaphana spectati;On the appearance of the heavens observed through transparent spherical segments;329;711;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;185-204;3;5;265;279;E329;329;https://scholarlycommons.pacific.edu/euler-works/329
De figura dentium rotarum;On the shape of the teeth of wheels [gear teeth];330;561;Latin;1762;1762;1762;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;207-231;2;17;196;219;E330;330;https://scholarlycommons.pacific.edu/euler-works/330
De motu fluidorum a diverso caloris gradu oriundo;On the motion of fluids arising from different degrees of heat;331;569;Latin;1764;1764;1764;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;11;232-267;2;12;244;271;E331;331;https://scholarlycommons.pacific.edu/euler-works/331
Recherches sur le mouvement des rivières;Research concerning the motion of rivers;332;571;French;1751;1751;1751;journal;article;Mémoires de l'académie des sciences de Berlin;16;101-118;2;12;272;288;E332;332;https://scholarlycommons.pacific.edu/euler-works/332
Recherches sur la courbure des surfaces;Research into the curvature of surfaces;333;433;French;1763;1763;1763;journal;article;Mémoires de l'académie des sciences de Berlin;16;119-143;1;28;1;22;E333;333;https://scholarlycommons.pacific.edu/euler-works/333
Recherches générales sur la mortalité et la multiplication du genre humain;General research on the mortality and the propagation of the human race;334;294;French;1767;1767;1767;journal;article;Mémoires de l'académie des sciences de Berlin;16;144-164;1;7;79;100;E334;334;https://scholarlycommons.pacific.edu/euler-works/334
Sur les rentes viagères;On life annuities;335;295;French;1767;1767;1767;journal;article;Mémoires de l'académie des sciences de Berlin;16;165-175;1;7;101;112;E335;335;https://scholarlycommons.pacific.edu/euler-works/335
Du mouvement d'un corps solide quelconque lorsqu'il tourne autour d'un axe mobile;On the motion of an arbitrary solid body as it rotates around a moving axis;336;478;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;16;176-227;2;8;313;356;E336;336;https://scholarlycommons.pacific.edu/euler-works/336
Probleme. Un corps étant attiré en raison réciproque quarrée des distances vers deux points fixes donnés trouver les cas où la courbe décrite par ce corps sera algébrique;"Problem: A body is attracted according to the reciprocal square of the distance between two given fixed points; find the case where the curve described by this body will be algebraic";337;537;French;1762;1762;1762;journal;article;Mémoires de l'académie des sciences de Berlin;16;228-249;2;6;274;293;E337;337;https://scholarlycommons.pacific.edu/euler-works/337
Sur la probabilté des séquences dans la lotterie Génoise;On the probability of sequences in the Genoese lottery;338;300;French;1767;1767;1767;journal;article;Mémoires de l'académie des sciences de Berlin;21;191-230;1;7;113;152;E338;338;https://scholarlycommons.pacific.edu/euler-works/338
Sur le mouvement d'un corde, que au commencement n'a ete ebranlee que dans un partie;On the motion of a string which at the start has only been struck only in one area;339;519;French;1765;1765;1765;journal;article;Mémoires de l'académie des sciences de Berlin;21;307-334;2;10;426;451;E339;339;https://scholarlycommons.pacific.edu/euler-works/339
Éclaircissemens plus détaillés sur la génération et la propagation du son, et sur la formation de l'écho;More detailed clarifications concerning the generation and propagation of sound and on the formation of echoes;340;506;French;1765;1765;1765;journal;article;Mémoires de l'académie des sciences de Berlin;21;335-363;3;1;540;567;E340;340;https://scholarlycommons.pacific.edu/euler-works/340
Nachricht von einem neuen Mittel zur Vermehrung des Getreides, und dem großen Nutzen desselben, welcher in einer außerordentlichen Ersparung des Saamens besteht;Report concerning a new method for the propagation of grain, and of the benefit resulting from it, namely, that in this method of sowing, much less seed is sown than in the usual method;341;748;Russian;;;;journal;article;Transactions of the Free Economic Society, for the promotion in Russia of agriculture and husbandry (St. Petersburg);6;150-155;3;2;384;386;E341;341;https://scholarlycommons.pacific.edu/euler-works/341
Institutionum calculi integralis volumen primum;Foundations of integral calculus, volume 1;342;200a;Latin;1763;1763;1763;quarto;book;St. Petersburg: Imperial Academy of Sciences;1;1-542;1;11;1;462;E342;342;https://scholarlycommons.pacific.edu/euler-works/342
Lettres à une princesse d'Allemagne sur divers sujets de physique & de philosophie;Letters to a German princess on various topics in physics and philosophy;343;749a;French;1760;1760;1760;octavo;book;St. Petersburg: Imperial Academy of Sciences;1;1-314;3;11;;;E343;343;https://scholarlycommons.pacific.edu/euler-works/343
Lettres à une princesse d'Allemagne sur divers sujets de physique & de philosophie;Letters to a German princess on various topics in physics and philosophy;344;749b;French;1760-61;1760-61;1760-61;octavo;book;St. Petersburg: Imperial Academy of Sciences;2;1-340;3;12;;;E344;344;https://scholarlycommons.pacific.edu/euler-works/344
Integratio aequationis <em>dx</em>/√(<em>A</em>+<em>Bx</em>+<em>Cx</em><sup>2</sup>+<em>Dx</em><sup>3</sup>+<em>Ex</em><sup>4</sup>) = <em>dy</em>/√(<em>A</em>+<em>By</em>+<em>Cy</em><sup>2</sup>+<em>Dy</em><sup>3</sup>+<em>Ey</em><sup>4</sup>);The integration of the equation <em>dx</em>/√(<em>A</em>+<em>Bx</em>+<em>Cx</em><sup>2</sup>+<em>Dx</em><sup>3</sup>+<em>Ex</em><sup>4</sup>) = <em>dy</em>/√(<em>A</em>+<em>By</em>+<em>Cy</em><sup>2</sup>+<em>Dy</em><sup>3</sup>+<em>Ey</em><sup>4</sup>);345;270;Latin;1765;1765;1765;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;3-16;1;20;302;317;E345;345;https://scholarlycommons.pacific.edu/euler-works/345
De arcubus curvarum aeque amplis earumque comparatione;;346;426;Latin;1765;1765;1765;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;17-41;1;28;23;40;E346;346;https://scholarlycommons.pacific.edu/euler-works/346
Evolutio generalior formularum comparationi curvarum inservientium;More general development of formulas serving for the comparison of curves;347;342;Latin;1765;1765;1765;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;42-86;1;20;318;356;E347;347;https://scholarlycommons.pacific.edu/euler-works/347
Methodus facilis motus corporum coelestium utcunque perturbatos ad rationem calculi astronomici revocandi;;348;609;Latin;1765;1765;1765;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;129-165;2;25;305;331;E348;348;https://scholarlycommons.pacific.edu/euler-works/348
Disquisitio de vera lege refrationis radiorum diversicolorum;Disquisition on the true law of refraction of rays of different colors;349;694;Latin;1762;1762;1762;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;166-194;3;5;280;299;E349;349;https://scholarlycommons.pacific.edu/euler-works/349
De novo microscopiorum genere ex sex lentibus composito;On a new type of microscope composed of six lenses;350;728;Latin;1763;1763;1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;195-223;3;6;324;350;E350;350;https://scholarlycommons.pacific.edu/euler-works/350
De telescopiis quatuor lentibus instructis eorumque perfectione;On a telescope made from four lenses and its perfection;351;721;Latin;1761, 1763;1761, 1763;1761, 1763;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;12;224-271;3;6;351;396;E351;351;https://scholarlycommons.pacific.edu/euler-works/351
Remarques sur un beau rapport entre les séries des puissances tant directes que réciproques;Remarks on a beautiful relation between direct as well as reciprocal power series;352;142;French;1749;1749;1749;journal;article;Mémoires de l'académie des sciences de Berlin;17;83-106;1;15;70;90;E352;352;https://scholarlycommons.pacific.edu/euler-works/352
Recherches sur la confusion des verres dioptriques causée par leur ouverture;Research on the confusion which exists in dioptric lenses, caused by their aperture;353;702;French;1768;1768;1768;journal;article;Mémoires de l'académie des sciences de Berlin;17;107-146;3;7;1;34;E353;353;https://scholarlycommons.pacific.edu/euler-works/353
Recherches sur les moyens de diminuer ou de réduire même à rien la confusion causée par l'ouverture des verres;Research into the methods to diminish or even reduce to nothing the confusion caused by the aperture of the lenses;354;703;French;1768;1768;1768;journal;article;Mémoires de l'académie des sciences de Berlin;17;147-180;3;7;35;63;E354;354;https://scholarlycommons.pacific.edu/euler-works/354
Nouvelle manière de perfectionner les verres objectifs des lunettes;New method to perfect the objective lenses for glasses;355;700;French;1768;1768;1768;journal;article;Mémoires de l'académie des sciences de Berlin;17;181-190;3;7;64;71;E355;355;https://scholarlycommons.pacific.edu/euler-works/355
Détermination du champ apparent que découvrent tant les télescopes que les microscopes;Determination of the apparent field revealed by telescopes as well as by microscopes;356;724;French;1768;1768;1768;journal;article;Mémoires de l'académie des sciences de Berlin;17;191-200;3;7;72;80;E356;356;https://scholarlycommons.pacific.edu/euler-works/356
Règles générales pour la construction des télescopes et des microscopes;General rules for the construction of telescopes and microscopes;357;720;French;1756;1756;1756;journal;article;Mémoires de l'académie des sciences de Berlin;17;201-211;3;7;81;88;E357;357;https://scholarlycommons.pacific.edu/euler-works/357
Sur la perfection des lunettes astronomiques qui représentent les objets renversés;On the perfection of astronomic lenses which represent inverted objects;358;707;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;17;212-230;3;7;89;103;E358;358;https://scholarlycommons.pacific.edu/euler-works/358
